Sample,Lake,Station,Season,Date,Year,TP,TDP,NO3,NH4,SRP,CHL,TSS,VSS,Turbidity
Z14-001,Bishop,Inlet,Summer,6/20/14,2014,16.18,4.05,,,,6.3,4.12,,
Z14-002,Bishop,Epi,Summer,6/20/14,2014,14.19,4.39,,,,6.94,3.52,,
Z14-003,Bishop,Hypo,Summer,6/20/14,2014,60.16,16.7,,,,7.63,3.53,,
Z14-004,Bishop,Outlet,Summer,6/20/14,2014,14.26,4.73,,,,6.19,2.78,,
Z14-005,Woodland,Inlet,Summer,6/25/14,2014,13.32,4.96,,,,2.7,2.86,,
Z14-006,Woodland,Epi,Summer,6/25/14,2014,13.74,4.99,,,,2.26,1.38,,
Z14-007,Woodland,Hypo,Summer,6/25/14,2014,62.56,5.72,,,,30.9,5.18,,
Z14-008,Woodland,Outlet,Summer,6/25/14,2014,15.95,5.76,,,,3.15,1.33,,
Z14-009,Big Seven,Inlet,Summer,6/19/14,2014,16.4,4.56,,,,4.71,2.34,,
Z14-010,Big Seven,Epi,Summer,6/19/14,2014,17.2,4.12,,,,4.67,2.62,,
Z14-011,Big Seven,Hypo,Summer,6/19/14,2014,48.19,17.29,,,,5.28,2.52,,
Z14-012,Big Seven,Outlet,Summer,6/19/14,2014,18.19,4.74,,,,4.54,2.64,,
Z14-013,Heron,Inlet,Summer,6/19/14,2014,15.26,3.86,,,,4.38,2.3,,
Z14-014,Heron,Epi,Summer,6/19/14,2014,19.43,3.82,,,,4.19,2.67,,
Z14-015,Heron,Hypo,Summer,6/19/14,2014,55.1,4.41,,,,17.04,4.8,,
Z14-016,Heron,Outlet,Summer,6/19/14,2014,15.05,3.59,,,,3.86,6.6,,
Z14-017,Lobdell,Inlet,Summer,6/25/14,2014,16.16,5.29,,,,3.2,2.14,,
Z14-018,Lobdell,Epi,Summer,6/25/14,2014,19.32,5.74,,,,3.72,2.35,,
Z14-019,Lobdell,Hypo,Summer,6/25/14,2014,54.69,44.68,,,,0.39,2.68,,
Z14-020,Lobdell,Outlet,Summer,6/25/14,2014,16.94,6.8,,,,3.11,2.9,,
Z14-021,North,Inlet,Summer,6/22/14,2014,9.73,3.95,,,,2.32,1.53,,
Z14-022,North,Epi,Summer,6/22/14,2014,10.57,5.02,,,,2.36,2,,
Z14-023,North,Hypo,Summer,6/22/14,2014,75.86,6.82,,,,8.56,6.7,,
Z14-024,North,Outlet,Summer,6/22/14,2014,12.28,5.88,,,,2.76,0.83,,
Z14-025,Bruin,Inlet,Summer,6/26/14,2014,7.26,4.32,,,,1.35,1.63,,
Z14-026,Bruin,Epi,Summer,6/26/14,2014,6.79,4.19,,,,1.33,1.27,,
Z14-027,Bruin,Hypo,Summer,6/26/14,2014,8.08,5.23,,,,0.75,1.22,,
Z14-028,Bruin,Outlet,Summer,6/26/14,2014,6.79,3.87,,,,1.56,1.68,,
Z14-029,Halfmoon,Inlet,Summer,6/26/14,2014,24.03,8.79,,,,9.06,3.3,,
Z14-030,Halfmoon,Epi,Summer,6/26/14,2014,18.18,7.71,,,,7.97,2.45,,
Z14-031,Halfmoon,Hypo,Summer,6/26/14,2014,116.59,111.21,,,,0.57,1.37,,
Z14-032,Halfmoon,Outlet,Summer,6/26/14,2014,17.15,8.35,,,,6.5,2.41,,
Z14-033,Cedar,Inlet,Summer,6/27/14,2014,13.82,4,,,,3.52,3.26,,
Z14-034,Cedar,Epi,Summer,6/27/14,2014,13.3,4.7,,,,3.64,3.22,,
Z14-035,Cedar,Hypo,Summer,6/27/14,2014,18.94,5.13,,,,4.95,3.28,,
Z14-036,Cedar,Outlet,Summer,6/27/14,2014,14.05,5.72,,,,4.27,3.18,,
Z14-037,Sand,Inlet,Summer,6/27/14,2014,9.58,3.1,,,,1.86,1.56,,
Z14-038,Sand,Epi,Summer,6/27/14,2014,8.67,2.68,,,,1.92,2.17,,
Z14-039,Sand,Hypo,Summer,6/27/14,2014,11.66,3.74,,,,3.47,2.29,,
Z14-040,Sand,Outlet,Summer,6/27/14,2014,11.4,4.02,,,,1.72,2.17,,
Z14-041,Whitmore,Inlet,Summer,6/29/14,2014,13.56,2.78,,,,3.71,2.99,,
Z14-042,Whitmore,Epi,Summer,6/29/14,2014,16.58,5.62,,,,4.38,2.68,,
