Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Chl Lab (ug/L),NO3 mg/L,SRP ug/L,TP ug/L,TDP ug/L,NH4 ug/L
Z14.001.P,Bishop,Summer,6/20/14,2014,Particle,Inlet,Surface,Day,0.5,2,6.3,0.166,14.47,16.18,4.05,8.69
Z14.002.P,Bishop,Summer,6/20/14,2014,Particle,Epi,Surface,Day,0.5,2,6.94,0.166,15.89,14.19,4.39,9.22
Z14.003.P,Bishop,Summer,6/20/14,2014,Particle,Hypo,Deep,Day,0.4,14,7.63,0.164,19.23,60.16,16.7,1056.53
Z14.004.P,Bishop,Summer,6/20/14,2014,Particle,Outlet,Surface,Day,1,2,6.19,0.166,11.79,14.26,4.73,11.25
Z14.005.P,Woodland,Summer,6/25/14,2014,Particle,Inlet,Surface,Day,1.5,2,2.7,0.164,0.77,13.32,4.96,3.66
Z14.006.P,Woodland,Summer,6/25/14,2014,Particle,Epi,Surface,Day,1.5,2,2.26,0.165,0,13.74,4.99,7.86
Z14.007.P,Woodland,Summer,6/25/14,2014,Particle,Hypo,Deep,Day,1.75,8,30.9,0.165,0,62.56,5.72,300.3
Z14.008.P,Woodland,Summer,6/25/14,2014,Particle,Outlet,Surface,Day,1,2,3.15,0.164,0,15.95,5.76,11.48
Z14.009.P,Big Seven,Summer,6/19/14,2014,Particle,Inlet,Surface,Day,NA,2,4.71,0.165,0,16.4,4.56,11.42
Z14.010.P,Big Seven,Summer,6/19/14,2014,Particle,Epi,Surface,Day,NA,2,4.67,0.165,0,17.2,4.12,13.95
Z14.011.P,Big Seven,Summer,6/19/14,2014,Particle,Hypo,Deep,Day,NA,13,5.28,0.163,17.01,48.19,17.29,730.43
Z14.012.P,Big Seven,Summer,6/19/14,2014,Particle,Outlet,Surface,Day,NA,2,4.54,0.164,0.43,18.19,4.74,21
Z14.013.P,Heron,Summer,6/19/14,2014,Particle,Inlet,Surface,Day,1,2,4.38,0.164,0,15.26,3.86,5.66
Z14.014.P,Heron,Summer,6/19/14,2014,Particle,Epi,Surface,Day,0.25,2,4.19,0.164,0,19.43,3.82,5.6
Z14.015.P,Heron,Summer,6/19/14,2014,Particle,Hypo,Deep,Day,1.25,10,17.04,0.166,0.17,55.1,4.41,588.12
Z14.016.P,Heron,Summer,6/19/14,2014,Particle,Outlet,Surface,Day,1.25,2,3.86,0.165,0.49,15.05,3.59,9.88
Z14.017.P,Lobdell,Summer,6/25/14,2014,Particle,Inlet,Surface,Day,0.8,2,3.2,0.165,0.77,16.16,5.29,4.94
