Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Temperature (C),SpCond (µS/cm),TDS (mg/L),pH,ORP (mV),Chl Lab (ug/L),BGA cells/mL,Cl mg/L,SO4 mg/L,NO3 mg/L,NH3 mg/L,TKN mg/L,SRP ug/L,TP ug/L,Alk mg/L,DO Lab mg/L,DO %,Turb NTU
MINE1-P-514,Muskegon,Spring,5/14/14,2014,Particle,Inlet,Surface,Day,NA,1,17.29,418,272,8.25,421,1.63,1356,15,10,0.59,0.03,0.73,2.5,24.7,112,9,93.8,6.4
MINE1-F-514,Muskegon,Spring,5/14/14,2014,Free,Inlet,Surface,Day,NA,1,17.29,418,272,8.25,421,1.63,1356,15,10,0.59,0.03,0.73,2.5,24.7,112,9,93.8,6.4
MINE2-P-514,Muskegon,Spring,5/14/14,2014,Particle,Inlet,Surface,Day,NA,1,17.29,418,272,8.25,421,1.63,1356,15,10,0.59,0.03,0.73,2.5,24.7,112,9,93.8,6.4
MINE2-F-514,Muskegon,Spring,5/14/14,2014,Free,Inlet,Surface,Day,NA,1,17.29,418,272,8.25,421,1.63,1356,15,10,0.59,0.03,0.73,2.5,24.7,112,9,93.8,6.4
MINH1-P-514,Muskegon,Spring,5/14/14,2014,Particle,Inlet,Deep,Day,NA,6.92,17.13,421,274,8.24,421,1.09,1046,14,10,0.51,0.02,0.67,2.5,27.5,113,8.86,92.1,7.3
MINH1-F-514,Muskegon,Spring,5/14/14,2014,Free,Inlet,Deep,Day,NA,6.92,17.13,421,274,8.24,421,1.09,1046,14,10,0.51,0.02,0.67,2.5,27.5,113,8.86,92.1,7.3
MINH2-P-514,Muskegon,Spring,5/14/14,2014,Particle,Inlet,Deep,Day,NA,6.92,17.13,421,274,8.24,421,1.09,1046,14,10,0.51,0.02,0.67,2.5,27.5,113,8.86,92.1,7.3
MINH2-F-514,Muskegon,Spring,5/14/14,2014,Free,Inlet,Deep,Day,NA,6.92,17.13,421,274,8.24,421,1.09,1046,14,10,0.51,0.02,0.67,2.5,27.5,113,8.86,92.1,7.3
MOTE1-P-514,Muskegon,Spring,5/14/14,2014,Particle,Outlet,Surface,Day,NA,1,15.76,262,170,7.75,461,1.47,1503,15,10,0.56,0.02,0.4,2.5,20,114,9.29,93.7,3.9
MOTE1-F-514,Muskegon,Spring,5/14/14,2014,Free,Outlet,Surface,Day,NA,1,15.76,262,170,7.75,461,1.47,1503,15,10,0.56,0.02,0.4,2.5,20,114,9.29,93.7,3.9
MOTE2-P-514,Muskegon,Spring,5/14/14,2014,Particle,Outlet,Surface,Day,NA,1,15.76,262,170,7.75,461,1.47,1503,15,10,0.56,0.02,0.4,2.5,20,114,9.29,93.7,3.9
