Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Chl Lab (ug/L),NO3 mg/L,SRP ug/L,TP ug/L,TDP ug/L,NH4 ug/L,,
Z14-001-P,Bishop,Summer,6/20/14,2014,Particle,Inlet,Surface,Day,0.5,2,6.3,0.166,14.47,16.18,4.05,8.69,,
Z14-001-F,Bishop,Summer,6/20/14,2014,Free,Inlet,Surface,Day,0.5,2,6.3,0.166,14.47,16.18,4.05,8.69,,
Z14-002-P,Bishop,Summer,6/20/14,2014,Particle,Epi,Surface,Day,0.5,2,6.94,0.166,15.89,14.19,4.39,9.22,,
Z14-002-F,Bishop,Summer,6/20/14,2015,Free,Epi,Surface,Day,0.5,2,6.94,0.166,15.89,14.19,4.39,9.22,,
Z14-003-P,Bishop,Summer,6/20/14,2014,Particle,Hypo,Deep,Day,0.4,14,7.63,0.164,19.23,60.16,16.7,1056.53,,
Z14-003-F,Bishop,Summer,6/20/14,2015,Free,Hypo,Deep,Day,0.4,14,7.63,0.164,19.23,60.16,16.7,1056.53,,
Z14-004-P,Bishop,Summer,6/20/14,2014,Particle,Outlet,Surface,Day,1,2,6.19,0.166,11.79,14.26,4.73,11.25,,
Z14-004-F,Bishop,Summer,6/20/14,2015,Free,Outlet,Surface,Day,1,2,6.19,0.166,11.79,14.26,4.73,11.25,,
Z14-005-P,Woodland,Summer,6/25/14,2014,Particle,Inlet,Surface,Day,1.5,2,2.7,0.164,0.77,13.32,4.96,3.66,,
Z14-005-F,Woodland,Summer,6/25/14,2015,Free,Inlet,Surface,Day,1.5,2,2.7,0.164,0.77,13.32,4.96,3.66,,
Z14-006-P,Woodland,Summer,6/25/14,2014,Particle,Epi,Surface,Day,1.5,2,2.26,0.165,0,13.74,4.99,7.86,,
Z14-006-F,Woodland,Summer,6/25/14,2015,Free,Epi,Surface,Day,1.5,2,2.26,0.165,0,13.74,4.99,7.86,,
Z14-007-P,Woodland,Summer,6/25/14,2014,Particle,Hypo,Deep,Day,1.75,8,30.9,0.165,0,62.56,5.72,300.3,,
Z14-007-F,Woodland,Summer,6/25/14,2015,Free,Hypo,Deep,Day,1.75,8,30.9,0.165,0,62.56,5.72,300.3,,
Z14-008-P,Woodland,Summer,6/25/14,2014,Particle,Outlet,Surface,Day,1,2,3.15,0.164,0,15.95,5.76,11.48,,
