Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Temperature (C),SpCond (µS/cm),DO Probe (mg/L),Chl Probe (µg/L),Chl Lab (ug/L),TP ug/L,PP ug/L,TDP ug/L,TDP-SRP,POC mg/L,PON mg/L,DOC mg/L,SiO2 mg/L,TSS mg/L,Fluorescence(mg/m3),PAR
Sp13.ED.MM110.SD.1,Michigan,Spring,4/23/13,2013,Particle,110,Surface,Day,8.5,5,2.805,305.575,13.5,0.5,0.684,3.42,1.80475,1.61525,1.615,0.089,0.0125,2.22,1.82,0.12,0.4623,15.986
Sp13.ED.MM110.SD.2,Michigan,Spring,4/23/13,2013,Particle,110,Surface,Day,8.5,5,2.805,305.575,13.5,0.5,0.684,3.42,1.80475,1.61525,1.615,0.089,0.0125,2.22,1.82,0.12,0.4623,15.986
Sp13.BD.MM110.SD.1,Michigan,Spring,4/23/13,2013,Free,110,Surface,Day,8.5,5,2.805,305.575,13.5,0.5,0.684,3.42,1.80475,1.61525,1.615,0.089,0.0125,2.22,1.82,0.12,0.4623,15.986
Sp13.BD.MM110.SD.2,Michigan,Spring,4/23/13,2013,Free,110,Surface,Day,8.5,5,2.805,305.575,13.5,0.5,0.684,3.42,1.80475,1.61525,1.615,0.089,0.0125,2.22,1.82,0.12,0.4623,15.986
Sp13.ED.MM110.SN.1,Michigan,Spring,4/23/13,2013,Particle,110,Surface,Night,7.5,5,2.709,304.717,13.5,0.5,0.684,3.42,1.80475,1.61525,1.615,0.089,0.0125,2.22,1.82,0.12,0.4533,1.00E-12
Sp13.BD.MM110.SN.1,Michigan,Spring,4/23/13,2013,Free,110,Surface,Night,7.5,5,2.709,304.717,13.5,0.5,0.684,3.42,1.80475,1.61525,1.615,0.089,0.0125,2.22,1.82,0.12,0.4533,1.00E-12
Sp13.BD.MM110.SN.2,Michigan,Spring,4/23/13,2013,Free,110,Surface,Night,7.5,5,2.709,304.717,13.5,0.5,0.684,3.42,1.80475,1.61525,1.615,0.089,0.0125,2.22,1.82,0.12,0.4533,1.00E-12
Sp13.ED.MM15.SD.1,Michigan,Spring,4/23/13,2013,Particle,15,Surface,Day,7.5,5,4.815,327.715,15,2.6,5.671,27.819,22.302,5.517,3.225,0.586,0.0782,3.663,2.53,7.297,2.9714,25.778
Sp13.ED.MM15.SD.2,Michigan,Spring,4/23/13,2013,Particle,15,Surface,Day,5,5,4.815,327.715,15,2.6,5.671,27.819,22.302,5.517,3.225,0.586,0.0782,3.663,2.53,7.297,2.9714,25.778
Sp13.BD.MM15.SD.1,Michigan,Spring,4/23/13,2013,Free,15,Surface,Day,7.5,5,4.815,327.715,15,2.6,5.671,27.819,22.302,5.517,3.225,0.586,0.0782,3.663,2.53,7.297,2.9714,25.778
Sp13.ED.MM15.SN.2,Michigan,Spring,4/24/13,2013,Particle,15,Surface,Night,4,5,5.589,328.273,15,2.6,5.671,27.819,22.302,5.517,3.225,0.586,0.0782,3.663,2.53,7.297,4.0508,1.00E-12
Sp13.BD.MM15.SN.1,Michigan,Spring,4/24/13,2013,Free,15,Surface,Night,4,5,5.589,328.273,15,2.6,5.671,27.819,22.302,5.517,3.225,0.586,0.0782,3.663,2.53,7.297,4.0508,1.00E-12
Sp13.BD.MM15.SN.2,Michigan,Spring,4/24/13,2013,Free,15,Surface,Night,4,5,5.589,328.273,15,2.6,5.671,27.819,22.302,5.517,3.225,0.586,0.0782,3.663,2.53,7.297,4.0508,1.00E-12
Su13.ED.MM110.SD.1,Michigan,Summer,7/16/13,2013,Particle,110,Surface,Day,NA,5,20.881,296.898,7.6681,0.3,1.031,5.0755,3.07925,1.99625,1.996,0.213,0.032,2.521,1.25,0.562,0.2578,134.83
Su13.ED.MM110.SD.2,Michigan,Summer,7/16/13,2013,Particle,110,Surface,Day,NA,5,20.881,296.898,7.6681,0.3,1.031,5.0755,3.07925,1.99625,1.996,0.213,0.032,2.521,1.25,0.562,0.2578,134.83
Su13.BD.MM110.SD.1,Michigan,Summer,7/16/13,2013,Free,110,Surface,Day,NA,5,20.881,296.898,7.6681,0.3,1.031,5.0755,3.07925,1.99625,1.996,0.213,0.032,2.521,1.25,0.562,0.2578,134.83
Su13.BD.MM110.SD.2,Michigan,Summer,7/16/13,2013,Free,110,Surface,Day,NA,5,20.881,296.898,7.6681,0.3,1.031,5.0755,3.07925,1.99625,1.996,0.213,0.032,2.521,1.25,0.562,0.2578,134.83
Su13.ED.MM110.SN.1,Michigan,Summer,7/16/13,2013,Particle,110,Surface,Night,10,5,21.905,296.47,8.1867,0.3,1.031,5.0755,3.07925,1.99625,1.996,0.213,0.032,2.521,1.25,0.562,0.5168,1.00E-12
