Sample,Lake,Season,Date,Year,Fraction,Site,Depth,Time,Volume Filtered (L),Sample Depth (m),Temperature (C),Cond (µS/cm),SpCond (µS/cm),TDS (mg/L),DO Probe (mg/L),pH,ORP (mV),Chl Probe (µg/L),Chl Lab (ug/L),BGA cells/mL,Cl mg/L,SO4 mg/L,NO3 mg/L,NH3 mg/L,TKN mg/L,SRP ug/L,TP ug/L,Alk mg/L,DO probe mg/L,DO probe %,Turb NTU,PP ug/L,TDP ug/L,TDP-SRP,POC mg/L,PON mg/L,DOC mg/L,SiO2 mg/L,TSS mg/L,Fluorescence(mg/m3),PAR,VSS mg/L,Turbidity,NH4 ug/L
Sp13.ED.MM110.SD.1,Michigan,Spring,4/23/13,2013,Particle,110,Surface,Day,8.5,5,2.805,169.936,305.575,NA,13.500,NA,NA,0.5,0.684,NA,NA,NA,NA,NA,NA,NA,3.42,NA,NA,NA,NA,1.80475,1.61525,1.615,0.089,0.0125,2.220,1.82,0.120,0.4623,15.986,NA,NA,NA
Sp13.ED.MM110.SD.2,Michigan,Spring,4/23/13,2013,Particle,110,Surface,Day,8.5,5,2.805,169.936,305.575,NA,13.500,NA,NA,0.5,0.684,NA,NA,NA,NA,NA,NA,NA,3.42,NA,NA,NA,NA,1.80475,1.61525,1.615,0.089,0.0125,2.220,1.82,0.120,0.4623,15.986,NA,NA,NA
Sp13.ED.MM110.SN.1,Michigan,Spring,4/23/13,2013,Particle,110,Surface,Night,7.5,5,2.709,168.874,304.717,NA,13.500,NA,NA,0.5,0.684,NA,NA,NA,NA,NA,NA,NA,3.42,NA,NA,NA,NA,1.80475,1.61525,1.615,0.089,0.0125,2.220,1.82,0.120,0.4533,1E-12,NA,NA,NA
Sp13.ED.MM110.DD.2,Michigan,Spring,4/23/13,2013,Particle,110,Deep,Day,9,NA,3.168,181.227,321.678,NA,15.000,NA,NA,0.5,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3654,0.0000517,NA,NA,NA
Sp13.ED.MM15.SD.1,Michigan,Spring,4/23/13,2013,Particle,15,Surface,Day,7.5,5,4.815,195.422,327.715,NA,15.000,NA,NA,2.6,5.671,NA,NA,NA,NA,NA,NA,2.292,27.819,NA,NA,NA,NA,22.302,5.517,3.225,0.586,0.0782,3.663,2.53,7.297,2.9714,25.778,NA,NA,NA
Sp13.ED.MM15.SD.2,Michigan,Spring,4/23/13,2013,Particle,15,Surface,Day,5,5,4.815,195.422,327.715,NA,15.000,NA,NA,2.6,5.671,NA,NA,NA,NA,NA,NA,2.292,27.819,NA,NA,NA,NA,22.302,5.517,3.225,0.586,0.0782,3.663,2.53,7.297,2.9714,25.778,NA,NA,NA
Sp13.ED.MM15.SN.2,Michigan,Spring,4/24/13,2013,Particle,15,Surface,Night,4,5,5.589,200.842,328.273,NA,15.000,NA,NA,2.6,5.671,NA,NA,NA,NA,NA,NA,2.292,27.819,NA,NA,NA,NA,22.302,5.517,3.225,0.586,0.0782,3.663,2.53,7.297,4.0508,1E-12,NA,NA,NA
Sp13.ED.MM15.DD.1,Michigan,Spring,4/23/13,2013,Particle,15,Deep,Day,9.5,10,4.816,195.542,327.900,NA,15.000,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3946,1.2913,NA,NA,NA
Sp13.ED.MM15.DD.2,Michigan,Spring,4/23/13,2013,Particle,15,Deep,Day,9.5,10,4.816,195.542,327.900,NA,15.000,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3946,1.2913,NA,NA,NA
Sp13.ED.MLB.SN.1,Muskegon,Spring,4/24/13,2013,Particle,Buoy,Surface,Night,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Su13.ED.MM110.SD.1,Michigan,Summer,7/16/13,2013,Particle,110,Surface,Day,NA,5,20.881,22.783,296.898,NA,7.6681,NA,NA,0.3,1.031,NA,NA,NA,NA,NA,NA,NA,5.0755,NA,NA,NA,NA,3.07925,1.99625,1.996,0.213,0.0320,2.521,1.25,0.562,0.2578,134.83,NA,NA,NA
Su13.ED.MM110.SD.2,Michigan,Summer,7/16/13,2013,Particle,110,Surface,Day,NA,5,20.881,22.783,296.898,NA,7.6681,NA,NA,0.3,1.031,NA,NA,NA,NA,NA,NA,NA,5.0755,NA,NA,NA,NA,3.07925,1.99625,1.996,0.213,0.0320,2.521,1.25,0.562,0.2578,134.83,NA,NA,NA
Su13.ED.MM110.SN.1,Michigan,Summer,7/16/13,2013,Particle,110,Surface,Night,10,5,21.905,NA,296.470,NA,8.1867,NA,NA,0.3,1.031,NA,NA,NA,NA,NA,NA,NA,5.0755,NA,NA,NA,NA,3.07925,1.99625,1.996,0.213,0.0320,2.521,1.25,0.562,0.5168,1E-12,NA,NA,NA
Su13.ED.MM110.SN.2,Michigan,Summer,7/16/13,2013,Particle,110,Surface,Night,10,5,21.905,NA,296.470,NA,8.1867,NA,NA,0.3,1.031,NA,NA,NA,NA,NA,NA,NA,5.0755,NA,NA,NA,NA,3.07925,1.99625,1.996,0.213,0.0320,2.521,1.25,0.562,0.5168,1E-12,NA,NA,NA
Su13.ED.MM110.DCMD.1,Michigan,Summer,7/16/13,2013,Particle,110,Mid,Day,NA,36,5.649,NA,298.714,NA,11.39609,NA,NA,1.3,2.959,NA,NA,NA,NA,NA,NA,NA,5.162,NA,NA,NA,NA,2.68075,2.48125,2.481,0.189,0.0261,2.135,1.82,0.578,2.5513,4.0415,NA,NA,NA
Su13.ED.MM110.DCMD.2,Michigan,Summer,7/16/13,2013,Particle,110,Mid,Day,NA,36,5.649,NA,298.714,NA,11.39609,NA,NA,1.3,2.959,NA,NA,NA,NA,NA,NA,NA,5.162,NA,NA,NA,NA,2.68075,2.48125,2.481,0.189,0.0261,2.135,1.82,0.578,2.5513,4.0415,NA,NA,NA
Su13.ED.MM15.SD.1,Michigan,Summer,7/16/13,2013,Particle,15,Surface,Day,10,5,16.063,NA,301.312,NA,7.34323,NA,NA,0.7,2.380,NA,NA,NA,NA,NA,NA,NA,5.857,NA,NA,NA,NA,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,0.3497,834.83,NA,NA,NA
Su13.ED.MM15.SD.2,Michigan,Summer,7/16/13,2013,Particle,15,Surface,Day,10,5,16.063,NA,301.312,NA,7.34323,NA,NA,0.7,2.380,NA,NA,NA,NA,NA,NA,NA,5.857,NA,NA,NA,NA,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,0.3497,834.83,NA,NA,NA
Su13.ED.MM15.SN.1,Michigan,Summer,7/15/13,2013,Particle,15,Surface,Night,10,5,16.988,NA,302.652,NA,9.23808,NA,NA,0.7,2.380,NA,NA,NA,NA,NA,NA,NA,5.857,NA,NA,NA,NA,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,1.0099,85.076,NA,NA,NA
Su13.ED.MM15.SN.2,Michigan,Summer,7/15/13,2013,Particle,15,Surface,Night,10,5,16.988,NA,302.652,NA,9.23808,NA,NA,0.7,2.380,NA,NA,NA,NA,NA,NA,NA,5.857,NA,NA,NA,NA,3.89925,1.96775,1.958,0.377,0.0531,6.133,1.12,1.12,1.0099,85.076,NA,NA,NA
Su13.ED.MM15.DN.1,Michigan,Summer,7/15/13,2013,Particle,15,Deep,Night,10,15,9.128,NA,302.006,NA,10.18578,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9012,9.6232,NA,NA,NA
Su13.ED.MM15.DN.2,Michigan,Summer,7/15/13,2013,Particle,15,Deep,Night,10,15,9.128,NA,302.006,NA,10.18578,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9012,9.6232,NA,NA,NA
Su13.ED.MLB.SD.1,Muskegon,Summer,7/15/13,2013,Particle,Buoy,Surface,Day,10,1,27.992,NA,363.306,NA,8.63857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1227,1042.6,NA,NA,NA
Su13.ED.MLB.SD.2,Muskegon,Summer,7/15/13,2013,Particle,Buoy,Surface,Day,10,1,27.992,NA,363.306,NA,8.63857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1227,1042.6,NA,NA,NA
Su13.ED.MLB.DD.1,Muskegon,Summer,7/15/13,2013,Particle,Buoy,Deep,Day,8.5,10.4,17.556,NA,329.552,NA,-0.41559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9165,0.040103,NA,NA,NA
Su13.ED.MLB.DD.2,Muskegon,Summer,7/15/13,2013,Particle,Buoy,Deep,Day,8.5,10.4,17.556,NA,329.552,NA,-0.41559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9165,0.040103,NA,NA,NA
Fa13.ED.MM110.SD.1,Michigan,Fall,9/24/13,2013,Particle,110,Surface,Day,10.5,5,17.333,247.815,NA,NA,13.500,NA,NA,0.2,1.166,NA,NA,NA,NA,NA,NA,0.0925,4.7705,NA,NA,NA,NA,2.55425,2.21625,2.124,0.376,0.0540,2.108,1.18,0.579,0.5343,19.834,NA,NA,NA
Fa13.ED.MM110.SD.2,Michigan,Fall,9/24/13,2013,Particle,110,Surface,Day,10.5,5,17.333,247.815,NA,NA,13.500,NA,NA,0.2,1.166,NA,NA,NA,NA,NA,NA,0.0925,4.7705,NA,NA,NA,NA,2.55425,2.21625,2.124,0.376,0.0540,2.108,1.18,0.579,0.5343,19.834,NA,NA,NA
Fa13.ED.MM110.SN.1,Michigan,Fall,9/24/13,2013,Particle,110,Surface,Night,NA,5,18.149,252.750,NA,NA,13.500,NA,NA,0.2,1.166,NA,NA,NA,NA,NA,NA,0.0925,4.7705,NA,NA,NA,NA,2.55425,2.21625,2.124,0.376,0.0540,2.108,1.18,0.579,0.5013,1E-12,NA,NA,NA
Fa13.ED.MM110.SN.2,Michigan,Fall,9/24/13,2013,Particle,110,Surface,Night,NA,5,18.149,252.750,NA,NA,13.500,NA,NA,0.2,1.166,NA,NA,NA,NA,NA,NA,0.0925,4.7705,NA,NA,NA,NA,2.55425,2.21625,2.124,0.376,0.0540,2.108,1.18,0.579,0.5013,1E-12,NA,NA,NA
Fa13.ED.MM110.DN.1,Michigan,Fall,9/24/13,2013,Particle,110,Deep,Night,10.5,108,4.265,175.770,NA,NA,15.000,NA,NA,0,0.160,NA,NA,NA,NA,NA,NA,0.0925,2.551,NA,NA,NA,NA,0.88475,1.66625,1.609,0.071,0.0118,1.848,1.94,0.094,0.0508,1E-12,NA,NA,NA
Fa13.ED.MM110.DN.2,Michigan,Fall,9/24/13,2013,Particle,110,Deep,Night,10.5,108,4.265,175.770,NA,NA,15.000,NA,NA,0,0.160,NA,NA,NA,NA,NA,NA,0.0925,2.551,NA,NA,NA,NA,0.88475,1.66625,1.609,0.071,0.0118,1.848,1.94,0.094,0.0508,1E-12,NA,NA,NA
Fa13.ED.MM15.SD.1,Michigan,Fall,9/24/13,2013,Particle,15,Surface,Day,11,5,14.316,235.080,NA,NA,14.500,NA,NA,0.4,1.329,NA,NA,NA,NA,NA,NA,NA,4.151,NA,NA,NA,NA,2.932,1.219,1.219,0.258,0.0346,2.066,1.46,0.534,0.3731,417.72,NA,NA,NA
Fa13.ED.MM15.SD.2,Michigan,Fall,9/24/13,2013,Particle,15,Surface,Day,11,5,14.316,235.080,NA,NA,14.500,NA,NA,0.4,1.329,NA,NA,NA,NA,NA,NA,NA,4.151,NA,NA,NA,NA,2.932,1.219,1.219,0.258,0.0346,2.066,1.46,0.534,0.3731,417.72,NA,NA,NA
Fa13.ED.MM15.SN.1,Michigan,Fall,9/23/13,2013,Particle,15,Surface,Night,9,5,13.011,114.450,NA,NA,14.500,NA,NA,0.4,1.329,NA,NA,NA,NA,NA,NA,NA,4.151,NA,NA,NA,NA,2.932,1.219,1.219,0.258,0.0346,2.066,1.46,0.534,0.791,1E-12,NA,NA,NA
Fa13.ED.MM15.SN.2,Michigan,Fall,9/23/13,2013,Particle,15,Surface,Night,9,5,13.011,114.450,NA,NA,14.500,NA,NA,0.4,1.329,NA,NA,NA,NA,NA,NA,NA,4.151,NA,NA,NA,NA,2.932,1.219,1.219,0.258,0.0346,2.066,1.46,0.534,0.791,1E-12,NA,NA,NA
Fa13.ED.MM15.DN.1,Michigan,Fall,9/23/13,2013,Particle,15,Deep,Night,10,15,NA,NA,NA,NA,14.500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fa13.ED.MM15.DN.2,Michigan,Fall,9/23/13,2013,Particle,15,Deep,Night,10,15,NA,NA,NA,NA,14.500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fa13.ED.MLB.SN.1,Muskegon,Fall,9/23/13,2013,Particle,Buoy,Surface,Night,10,2,18.6134,344.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3438,2.6959,NA,NA,NA
Fa13.ED.MLB.SN.2,Muskegon,Fall,9/23/13,2013,Particle,Buoy,Surface,Night,10,2,18.6134,344.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3438,2.6959,NA,NA,NA
Fa13.ED.MLB.DN.1,Muskegon,Fall,9/23/13,2013,Particle,Buoy,Deep,Night,10,8,17.078,311.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.307,0.003,NA,NA,NA
Fa13.ED.MLB.DN.2,Muskegon,Fall,9/23/13,2013,Particle,Buoy,Deep,Night,10,8,17.078,311.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.307,0.003,NA,NA,NA
MINE1-P-514,Muskegon,Spring,5/14/14,2014,Particle,Inlet,Surface,Day,NA,1,17.29,NA,418,272.00,NA,8.25,421.00,NA,1.63,1356.00,15.00,10.00,0.59,0.03,0.73,2.50,24.70,112.00,9.00,93.80,6.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINE2-P-514,Muskegon,Spring,5/14/14,2014,Particle,Inlet,Surface,Day,NA,1,17.29,NA,418,272.00,NA,8.25,421.00,NA,1.63,1356.00,15.00,10.00,0.59,0.03,0.73,2.50,24.70,112.00,9.00,93.80,6.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINH1-P-514,Muskegon,Spring,5/14/14,2014,Particle,Inlet,Deep,Day,NA,6.92,17.13,NA,421,274.00,NA,8.24,421.00,NA,1.09,1046.00,14.00,10.00,0.51,0.02,0.67,2.50,27.50,113.00,8.86,92.10,7.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINH2-P-514,Muskegon,Spring,5/14/14,2014,Particle,Inlet,Deep,Day,NA,6.92,17.13,NA,421,274.00,NA,8.24,421.00,NA,1.09,1046.00,14.00,10.00,0.51,0.02,0.67,2.50,27.50,113.00,8.86,92.10,7.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTE1-P-514,Muskegon,Spring,5/14/14,2014,Particle,Outlet,Surface,Day,NA,1,15.76,NA,262,170.00,NA,7.75,461.00,NA,1.47,1503.00,15.00,10.00,0.56,0.02,0.40,2.50,20.00,114.00,9.29,93.70,3.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTE2-P-514,Muskegon,Spring,5/14/14,2014,Particle,Outlet,Surface,Day,NA,1,15.76,NA,262,170.00,NA,7.75,461.00,NA,1.47,1503.00,15.00,10.00,0.56,0.02,0.40,2.50,20.00,114.00,9.29,93.70,3.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTH1-P-514,Muskegon,Spring,5/14/14,2014,Particle,Outlet,Deep,Day,NA,9.67,12.73,NA,266,173.00,NA,7.72,458.00,NA,0.00,673.00,17.00,11.00,0.56,0.05,0.69,7.00,19.70,112.00,9.32,88.00,2.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOTH2-P-514,Muskegon,Spring,5/14/14,2014,Particle,Outlet,Deep,Day,NA,9.67,12.73,NA,266,173.00,NA,7.72,458.00,NA,0.00,673.00,17.00,11.00,0.56,0.05,0.69,7.00,19.70,112.00,9.32,88.00,2.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPE1-P-514,Muskegon,Spring,5/14/14,2014,Particle,Deep,Surface,Day,NA,1,15.11,NA,264,172.00,NA,7.71,474.00,NA,1.63,1331.00,16.00,10.00,0.65,0.03,0.69,2.50,19.20,110.00,9.21,91.60,3.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPE2-P-514,Muskegon,Spring,5/14/14,2014,Particle,Deep,Surface,Day,NA,1,15.11,NA,264,172.00,NA,7.71,474.00,NA,1.63,1331.00,16.00,10.00,0.65,0.03,0.69,2.50,19.20,110.00,9.21,91.60,3.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPH1-P-514,Muskegon,Spring,5/14/14,2014,Particle,Deep,Deep,Day,NA,23.08,11.80,NA,270,175.00,NA,7.70,468.00,NA,0.00,724.00,16.00,11.00,0.62,0.06,0.56,13.20,30.50,121.00,8.78,81.20,3.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPH2-P-514,Muskegon,Spring,5/14/14,2014,Particle,Deep,Deep,Day,NA,23.08,11.80,NA,270,175.00,NA,7.70,468.00,NA,0.00,724.00,16.00,11.00,0.62,0.06,0.56,13.20,30.50,121.00,8.78,81.20,3.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINE1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Inlet,Surface,Day,1.05,1,24.00,NA,377,245.00,NA,8.00,402.00,NA,8.96,9485.00,21.00,15.00,0.86,0.01,0.73,2.50,22.90,157.00,9.23,109.70,4.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINE2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Inlet,Surface,Day,1.275,1,24.00,NA,377,245.00,NA,8.00,402.00,NA,8.96,9485.00,21.00,15.00,0.86,0.01,0.73,2.50,22.90,157.00,9.23,109.70,4.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINH1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Inlet,Deep,Day,0.8,6.62,23.53,NA,380,247.00,NA,7.81,406.00,NA,4.57,3487.00,22.00,15.00,0.87,0.01,0.57,2.50,20.60,162.00,8.00,94.30,3.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINH2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Inlet,Deep,Day,1.15,6.62,23.53,NA,380,247.00,NA,7.81,406.00,NA,4.57,3487.00,22.00,15.00,0.87,0.01,0.57,2.50,20.60,162.00,8.00,94.30,3.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBRE1-P-714,Muskegon,Summer,7/22/14,2014,Particle,Bear,Surface,Day,1.45,1,23.66,NA,366,238.00,NA,8.08,416.00,NA,2.94,4572.00,23.00,14.00,0.79,0.06,0.89,2.50,19.20,154.00,9.12,107.80,1.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MBRE2-P-714,Muskegon,Summer,7/22/14,2014,Particle,Bear,Surface,Day,1.39,1,23.66,NA,366,238.00,NA,8.08,416.00,NA,2.94,4572.00,23.00,14.00,0.79,0.06,0.89,2.50,19.20,154.00,9.12,107.80,1.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
