"Sample"	"Group"	"Lake"	"Date"	"Site"	"Depth"	"Fraction"	"Season"	"Origin"
"1"	"Fa13.BD.MM110.DN"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Bottom"	"Free"	"Fall"	"Water"
"2"	"Fa13.BD.MM110.SD"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Top"	"Free"	"Fall"	"Water"
"3"	"Fa13.BD.MM110.SN"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Top"	"Free"	"Fall"	"Water"
"4"	"Fa13.BD.MM15.DN"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Bottom"	"Free"	"Fall"	"Water"
"5"	"Fa13.BD.MM15.SD"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Top"	"Free"	"Fall"	"Water"
"6"	"Fa13.BD.MM15.SN"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Top"	"Free"	"Fall"	"Water"
"7"	"Fa13.BcD.MM110.DN"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Bottom"	"cFree"	"Fall"	"Water"
"8"	"Fa13.BcD.MM110.SD"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Top"	"cFree"	"Fall"	"Water"
"9"	"Fa13.BcD.MM110.SN"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Top"	"cFree"	"Fall"	"Water"
"10"	"Fa13.BcD.MM15.DN"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Bottom"	"cFree"	"Fall"	"Water"
"11"	"Fa13.BcD.MM15.SD"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Top"	"cFree"	"Fall"	"Water"
"12"	"Fa13.BcD.MM15.SN"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Top"	"cFree"	"Fall"	"Water"
"13"	"Fa13.ED.MLB.DN"	"Estuary"	"Muskegon"	"Fa13"	"Buoy"	"Bottom"	"Particle"	"Fall"	"Water"
"14"	"Fa13.ED.MLB.SN"	"Estuary"	"Muskegon"	"Fa13"	"Buoy"	"Top"	"Particle"	"Fall"	"Water"
"15"	"Fa13.ED.MM110.DN"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Bottom"	"Particle"	"Fall"	"Water"
"16"	"Fa13.ED.MM110.SD"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Top"	"Particle"	"Fall"	"Water"
"17"	"Fa13.ED.MM110.SN"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Top"	"Particle"	"Fall"	"Water"
"18"	"Fa13.ED.MM15.DN"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Bottom"	"Particle"	"Fall"	"Water"
"19"	"Fa13.ED.MM15.SD"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Top"	"Particle"	"Fall"	"Water"
"20"	"Fa13.ED.MM15.SN"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Top"	"Particle"	"Fall"	"Water"
"21"	"Fa13.EcD.MLB.DN"	"Estuary"	"Muskegon"	"Fa13"	"Buoy"	"Bottom"	"cParticle"	"Fall"	"Water"
"22"	"Fa13.EcD.MM110.DN"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Bottom"	"cParticle"	"Fall"	"Water"
"23"	"Fa13.EcD.MM110.SD"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Top"	"cParticle"	"Fall"	"Water"
"24"	"Fa13.EcD.MM110.SN"	"Laurentian"	"Michigan"	"Fa13"	"Far"	"Top"	"cParticle"	"Fall"	"Water"
"25"	"Fa13.EcD.MM15.DN"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Bottom"	"cParticle"	"Fall"	"Water"
"26"	"Fa13.EcD.MM15.SD"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Top"	"cParticle"	"Fall"	"Water"
"27"	"Fa13.EcD.MM15.SN"	"Laurentian"	"Michigan"	"Fa13"	"Shore"	"Top"	"cParticle"	"Fall"	"Water"
"28"	"Sp13.BD.MLB.SN"	"Estuary"	"Muskegon"	"Sp13"	"Buoy"	"Top"	"Free"	"Spring"	"Water"
"29"	"Sp13.BD.MM110.SD"	"Laurentian"	"Michigan"	"Sp13"	"Far"	"Top"	"Free"	"Spring"	"Water"
"30"	"Sp13.BD.MM110.SN"	"Laurentian"	"Michigan"	"Sp13"	"Far"	"Top"	"Free"	"Spring"	"Water"
"31"	"Sp13.BD.MM15.SN"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Top"	"Free"	"Spring"	"Water"
"32"	"Sp13.BcD.MLB.SN"	"Estuary"	"Muskegon"	"Sp13"	"Buoy"	"Top"	"cFree"	"Spring"	"Water"
"33"	"Sp13.BcD.MM110.DD"	"Laurentian"	"Michigan"	"Sp13"	"Far"	"Bottom"	"cFree"	"Spring"	"Water"
"34"	"Sp13.BcD.MM110.SD"	"Laurentian"	"Michigan"	"Sp13"	"Far"	"Top"	"cFree"	"Spring"	"Water"
"35"	"Sp13.BcD.MM110.SN"	"Laurentian"	"Michigan"	"Sp13"	"Far"	"Top"	"cFree"	"Spring"	"Water"
"36"	"Sp13.BcD.MM15.DD"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Bottom"	"cFree"	"Spring"	"Water"
"37"	"Sp13.BcD.MM15.SD"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Top"	"cFree"	"Spring"	"Water"
"38"	"Sp13.BcD.MM15.SN"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Top"	"cFree"	"Spring"	"Water"
"39"	"Sp13.ED.MM15.DD"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Bottom"	"Particle"	"Spring"	"Water"
"40"	"Sp13.ED.MM15.SD"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Top"	"Particle"	"Spring"	"Water"
"41"	"Sp13.EcD.MLB.SN"	"Estuary"	"Muskegon"	"Sp13"	"Buoy"	"Top"	"cParticle"	"Spring"	"Water"
"42"	"Sp13.EcD.MM110.DD"	"Laurentian"	"Michigan"	"Sp13"	"Far"	"Bottom"	"cParticle"	"Spring"	"Water"
"43"	"Sp13.EcD.MM110.SN"	"Laurentian"	"Michigan"	"Sp13"	"Far"	"Top"	"cParticle"	"Spring"	"Water"
"44"	"Sp13.EcD.MM15.DD"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Bottom"	"cParticle"	"Spring"	"Water"
"45"	"Sp13.EcD.MM15.SD"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Top"	"cParticle"	"Spring"	"Water"
"46"	"Sp13.EcD.MM15.SN"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Top"	"cParticle"	"Spring"	"Water"
"47"	"Su13.BD.MM110.DCMD"	"Laurentian"	"Michigan"	"Su13"	"Far"	"DCM"	"Free"	"Summer"	"Water"
"48"	"Su13.BD.MM110.DN"	"Laurentian"	"Michigan"	"Su13"	"Far"	"Bottom"	"Free"	"Summer"	"Water"
"49"	"Su13.BD.MM110.SD"	"Laurentian"	"Michigan"	"Su13"	"Far"	"Top"	"Free"	"Summer"	"Water"
"50"	"Su13.BD.MM110.SN"	"Laurentian"	"Michigan"	"Su13"	"Far"	"Top"	"Free"	"Summer"	"Water"
"51"	"Su13.BD.MM15.DN"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Bottom"	"Free"	"Summer"	"Water"
"52"	"Su13.BD.MM15.SD"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Top"	"Free"	"Summer"	"Water"
"53"	"Su13.BD.MM15.SN"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Top"	"Free"	"Summer"	"Water"
"54"	"Su13.BcD.MM110.DCMD"	"Laurentian"	"Michigan"	"Su13"	"Far"	"DCM"	"cFree"	"Summer"	"Water"
"55"	"Su13.BcD.MM110.DN"	"Laurentian"	"Michigan"	"Su13"	"Far"	"Bottom"	"cFree"	"Summer"	"Water"
"56"	"Su13.BcD.MM110.SD"	"Laurentian"	"Michigan"	"Su13"	"Far"	"Top"	"cFree"	"Summer"	"Water"
"57"	"Su13.BcD.MM110.SN"	"Laurentian"	"Michigan"	"Su13"	"Far"	"Top"	"cFree"	"Summer"	"Water"
"58"	"Su13.BcD.MM15.DN"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Bottom"	"cFree"	"Summer"	"Water"
"59"	"Su13.BcD.MM15.SD"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Top"	"cFree"	"Summer"	"Water"
"60"	"Su13.BcD.MM15.SN"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Top"	"cFree"	"Summer"	"Water"
"61"	"Su13.ED.MLB.DD"	"Estuary"	"Muskegon"	"Su13"	"Buoy"	"Bottom"	"Particle"	"Summer"	"Water"
"62"	"Su13.ED.MLB.SD"	"Estuary"	"Muskegon"	"Su13"	"Buoy"	"Top"	"Particle"	"Summer"	"Water"
"63"	"Su13.ED.MM110.DCMD"	"Laurentian"	"Michigan"	"Su13"	"Far"	"DCM"	"Particle"	"Summer"	"Water"
"64"	"Su13.ED.MM110.SD"	"Laurentian"	"Michigan"	"Su13"	"Far"	"Top"	"Particle"	"Summer"	"Water"
"65"	"Su13.ED.MM110.SN"	"Laurentian"	"Michigan"	"Su13"	"Far"	"Top"	"Particle"	"Summer"	"Water"
"66"	"Su13.ED.MM15.DN"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Bottom"	"Particle"	"Summer"	"Water"
"67"	"Su13.ED.MM15.SD"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Top"	"Particle"	"Summer"	"Water"
"68"	"Su13.ED.MM15.SN"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Top"	"Particle"	"Summer"	"Water"
"69"	"Su13.EcD.MLB.DD"	"Estuary"	"Muskegon"	"Su13"	"Buoy"	"Bottom"	"cParticle"	"Summer"	"Water"
"70"	"Su13.EcD.MLB.SD"	"Estuary"	"Muskegon"	"Su13"	"Buoy"	"Top"	"cParticle"	"Summer"	"Water"
"71"	"Su13.EcD.MM110.DCMD"	"Laurentian"	"Michigan"	"Su13"	"Far"	"DCM"	"cParticle"	"Summer"	"Water"
"72"	"Su13.EcD.MM110.DN"	"Laurentian"	"Michigan"	"Su13"	"Far"	"Bottom"	"cParticle"	"Summer"	"Water"
"73"	"Su13.EcD.MM110.SD"	"Laurentian"	"Michigan"	"Su13"	"Far"	"Top"	"cParticle"	"Summer"	"Water"
"74"	"Su13.EcD.MM110.SN"	"Laurentian"	"Michigan"	"Su13"	"Far"	"Top"	"cParticle"	"Summer"	"Water"
"75"	"Su13.EcD.MM15.DN"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Bottom"	"cParticle"	"Summer"	"Water"
"76"	"Su13.EcD.MM15.SD"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Top"	"cParticle"	"Summer"	"Water"
"77"	"Su13.EcD.MM15.SN"	"Laurentian"	"Michigan"	"Su13"	"Shore"	"Top"	"cParticle"	"Summer"	"Water"
"78"	"Fa13.BD.MLB.DN"	"Estuary"	"Muskegon"	"Fa13"	"Buoy"	"Bottom"	"Free"	"Fall"	"Water"
"79"	"Fa13.BD.MLB.SN"	"Estuary"	"Muskegon"	"Fa13"	"Buoy"	"Top"	"Free"	"Fall"	"Water"
"80"	"Fa13.BcD.MLB.DN"	"Estuary"	"Muskegon"	"Fa13"	"Buoy"	"Bottom"	"cFree"	"Fall"	"Water"
"81"	"Fa13.BcD.MLB.SN"	"Estuary"	"Muskegon"	"Fa13"	"Buoy"	"Top"	"cFree"	"Fall"	"Water"
"82"	"Fa13.EcD.MLB.SN"	"Estuary"	"Muskegon"	"Fa13"	"Buoy"	"Top"	"cParticle"	"Fall"	"Water"
"83"	"Sp13.BD.MM110.DD"	"Laurentian"	"Michigan"	"Sp13"	"Far"	"Bottom"	"Free"	"Spring"	"Water"
"84"	"Sp13.BD.MM15.DD"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Bottom"	"Free"	"Spring"	"Water"
"85"	"Sp13.BD.MM15.SD"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Top"	"Free"	"Spring"	"Water"
"86"	"Sp13.ED.MLB.SN"	"Estuary"	"Muskegon"	"Sp13"	"Buoy"	"Top"	"Particle"	"Spring"	"Water"
"87"	"Sp13.ED.MM15.SN"	"Laurentian"	"Michigan"	"Sp13"	"Shore"	"Top"	"Particle"	"Spring"	"Water"
"88"	"Su13.BD.MLB.DD"	"Estuary"	"Muskegon"	"Su13"	"Buoy"	"Bottom"	"Free"	"Summer"	"Water"
"89"	"Su13.BD.MLB.SD"	"Estuary"	"Muskegon"	"Su13"	"Buoy"	"Top"	"Free"	"Summer"	"Water"
"90"	"Su13.BcD.MLB.DD"	"Estuary"	"Muskegon"	"Su13"	"Buoy"	"Bottom"	"cFree"	"Summer"	"Water"
"91"	"Su13.BcD.MLB.SD"	"Estuary"	"Muskegon"	"Su13"	"Buoy"	"Top"	"cFree"	"Summer"	"Water"
"92"	"MBR.S.914"	"Estuary"	"Muskegon"	"Fa14"	"Bear"	"Sediment"	"Sediment"	"Fall"	"Sediment"
"93"	"MBRE.F.714"	"Estuary"	"Muskegon"	"Su14"	"Bear"	"Top"	"Free"	"Summer"	"Water"
"94"	"MBRE.F.914"	"Estuary"	"Muskegon"	"Fa14"	"Bear"	"Top"	"Free"	"Fall"	"Water"
"95"	"MBRE.P.714"	"Estuary"	"Muskegon"	"Su14"	"Bear"	"Top"	"Particle"	"Summer"	"Water"
"96"	"MBRE.P.914"	"Estuary"	"Muskegon"	"Fa14"	"Bear"	"Top"	"Particle"	"Fall"	"Water"
"97"	"MBRH.F.714"	"Estuary"	"Muskegon"	"Su14"	"Bear"	"Bottom"	"Free"	"Summer"	"Water"
"98"	"MBRH.F.914"	"Estuary"	"Muskegon"	"Fa14"	"Bear"	"Bottom"	"Free"	"Fall"	"Water"
"99"	"MBRH.P.714"	"Estuary"	"Muskegon"	"Su14"	"Bear"	"Bottom"	"Particle"	"Summer"	"Water"
"100"	"MBRH.P.914"	"Estuary"	"Muskegon"	"Fa14"	"Bear"	"Bottom"	"Particle"	"Fall"	"Water"
