"SampleID","Study","Blank"
"Fa13.BD.MLB.DN.1.renamed","LakeMichigan","no"
"Fa13.BD.MLB.SN.1.renamed","LakeMichigan","no"
"Fa13.BD.MM110.DN.1.renamed","LakeMichigan","no"
"Fa13.BD.MM110.DN.2.renamed","LakeMichigan","no"
"Fa13.BD.MM110.SD.1.renamed","LakeMichigan","no"
"Fa13.BD.MM110.SD.2.renamed","LakeMichigan","no"
"Fa13.BD.MM110.SN.1.renamed","LakeMichigan","no"
"Fa13.BD.MM110.SN.2.renamed","LakeMichigan","no"
"Fa13.BD.MM15.DN.1.renamed","LakeMichigan","no"
"Fa13.BD.MM15.DN.2.renamed","LakeMichigan","no"
"Fa13.BD.MM15.SD.1.renamed","LakeMichigan","no"
"Fa13.BD.MM15.SD.2.renamed","LakeMichigan","no"
"Fa13.BD.MM15.SN.1.renamed","LakeMichigan","no"
"Fa13.BD.MM15.SN.2.renamed","LakeMichigan","no"
"Fa13.BcD.MLB.DN.1","LakeMichigan","no"
"Fa13.BcD.MLB.SN.1","LakeMichigan","no"
"Fa13.BcD.MM110.DN.1","LakeMichigan","no"
"Fa13.BcD.MM110.DN.2","LakeMichigan","no"
"Fa13.BcD.MM110.SD.1","LakeMichigan","no"
"Fa13.BcD.MM110.SD.2","LakeMichigan","no"
"Fa13.BcD.MM110.SN.1","LakeMichigan","no"
"Fa13.BcD.MM110.SN.2","LakeMichigan","no"
"Fa13.BcD.MM15.DN.1","LakeMichigan","no"
"Fa13.BcD.MM15.DN.2","LakeMichigan","no"
"Fa13.BcD.MM15.SD.1","LakeMichigan","no"
"Fa13.BcD.MM15.SD.2","LakeMichigan","no"
"Fa13.BcD.MM15.SN.1","LakeMichigan","no"
"Fa13.BcD.MM15.SN.2","LakeMichigan","no"
"Fa13.ED.MLB.DN.1.renamed","LakeMichigan","no"
"Fa13.ED.MLB.DN.2.renamed","LakeMichigan","no"
"Fa13.ED.MLB.SN.1.renamed","LakeMichigan","no"
"Fa13.ED.MLB.SN.2.renamed","LakeMichigan","no"
"Fa13.ED.MM110.DN.1.renamed","LakeMichigan","no"
"Fa13.ED.MM110.DN.2.renamed","LakeMichigan","no"
"Fa13.ED.MM110.SD.1.renamed","LakeMichigan","no"
"Fa13.ED.MM110.SD.2.renamed","LakeMichigan","no"
"Fa13.ED.MM110.SN.1.renamed","LakeMichigan","no"
"Fa13.ED.MM110.SN.2.renamed","LakeMichigan","no"
"Fa13.ED.MM15.DN.1.renamed","LakeMichigan","no"
"Fa13.ED.MM15.DN.2.renamed","LakeMichigan","no"
"Fa13.ED.MM15.SD.1.renamed","LakeMichigan","no"
"Fa13.ED.MM15.SD.2.renamed","LakeMichigan","no"
"Fa13.ED.MM15.SN.1.renamed","LakeMichigan","no"
"Fa13.ED.MM15.SN.2.renamed","LakeMichigan","no"
"Fa13.EcD.MLB.DN.1","LakeMichigan","no"
"Fa13.EcD.MLB.DN.2","LakeMichigan","no"
"Fa13.EcD.MLB.SN.2","LakeMichigan","no"
"Fa13.EcD.MM110.DN.1","LakeMichigan","no"
"Fa13.EcD.MM110.DN.2","LakeMichigan","no"
"Fa13.EcD.MM110.SD.1","LakeMichigan","no"
"Fa13.EcD.MM110.SD.2","LakeMichigan","no"
"Fa13.EcD.MM110.SN.1","LakeMichigan","no"
"Fa13.EcD.MM110.SN.2","LakeMichigan","no"
"Fa13.EcD.MM15.DN.1","LakeMichigan","no"
"Fa13.EcD.MM15.DN.2","LakeMichigan","no"
"Fa13.EcD.MM15.SD.1","LakeMichigan","no"
