"","SampleID","Study","Blank","Duplicates","Group","Site","Date","Lake","Depth","Fraction"
"1","Fa13.BD.MLB.DN.1.renamed","LakeMichigan","no","Fa13.BD.MLB.DN","Estuary","Michigan","Fa13","Muskegon","Deep","Free"
"2","Fa13.BD.MLB.SN.1.renamed","LakeMichigan","no","Fa13.BD.MLB.SN","Estuary","Michigan","Fa13","Muskegon","Top","Free"
"3","Fa13.BD.MM110.DN.1.renamed","LakeMichigan","no","Fa13.BD.MM110.DN","Laurentian","Michigan","Fa13","Michigan","Deep","Free"
"4","Fa13.BD.MM110.DN.2.renamed","LakeMichigan","no","Fa13.BD.MM110.DN","Laurentian","Michigan","Fa13","Michigan","Deep","Free"
"5","Fa13.BD.MM110.SD.1.renamed","LakeMichigan","no","Fa13.BD.MM110.SD","Laurentian","Michigan","Fa13","Michigan","Top","Free"
"6","Fa13.BD.MM110.SD.2.renamed","LakeMichigan","no","Fa13.BD.MM110.SD","Laurentian","Michigan","Fa13","Michigan","Top","Free"
"7","Fa13.BD.MM110.SN.1.renamed","LakeMichigan","no","Fa13.BD.MM110.SN","Laurentian","Michigan","Fa13","Michigan","Top","Free"
"8","Fa13.BD.MM110.SN.2.renamed","LakeMichigan","no","Fa13.BD.MM110.SN","Laurentian","Michigan","Fa13","Michigan","Top","Free"
"9","Fa13.BD.MM15.DN.1.renamed","LakeMichigan","no","Fa13.BD.MM15.DN","Laurentian","Michigan","Fa13","Michigan","Deep","Free"
"10","Fa13.BD.MM15.DN.2.renamed","LakeMichigan","no","Fa13.BD.MM15.DN","Laurentian","Michigan","Fa13","Michigan","Deep","Free"
"11","Fa13.BD.MM15.SD.1.renamed","LakeMichigan","no","Fa13.BD.MM15.SD","Laurentian","Michigan","Fa13","Michigan","Top","Free"
"12","Fa13.BD.MM15.SD.2.renamed","LakeMichigan","no","Fa13.BD.MM15.SD","Laurentian","Michigan","Fa13","Michigan","Top","Free"
"13","Fa13.BD.MM15.SN.1.renamed","LakeMichigan","no","Fa13.BD.MM15.SN","Laurentian","Michigan","Fa13","Michigan","Top","Free"
"14","Fa13.BD.MM15.SN.2.renamed","LakeMichigan","no","Fa13.BD.MM15.SN","Laurentian","Michigan","Fa13","Michigan","Top","Free"
"15","Fa13.BcD.MLB.DN.1","LakeMichigan","no","Fa13.BcD.MLB.DN","Estuary","Michigan","Fa13","Muskegon","Deep","cFree"
"16","Fa13.BcD.MLB.SN.1","LakeMichigan","no","Fa13.BcD.MLB.SN","Estuary","Michigan","Fa13","Muskegon","Top","cFree"
