DATASET_BINARY
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,binary_data

#dataset color (can be changed later)
COLOR,#ff0000

#Binary datasets can contain one or more values for each node. Each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS). Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely ommited).

#define colors for each individual field column (if not defined all symbols will use the main dataset color, defined in COLOR)
#shapes for each field column; possible choices are
#1: rectangle 
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
FIELD_LABELS,Top,Bottom,Sediment,Laurentian,Estuary,Inland,Particle,Free,Spring,Summer,Fall
FIELD_COLORS,#66ddff,#3366ee,#000099,#d73027,#fc8d59,#fee08b,#404040,#bababa,#d9ef8b,#41ab5d,#00441b
FIELD_SHAPES,1,1,1,3,3,3,2,2,5,5,5
# Rectangle = depth
# Star = group 
# Circle = fraction
# Triangle = Season

#all other optional settings can be set or changed later in the web interface (under 'Datasets' tab)

#show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,1

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#symbol height factor; Default symbol height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#increase/decrease the spacing between individual levels, when there is more than one binary level defined 
SYMBOL_SPACING,10

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#Actual data follows after the "DATA" keyword

DATA

FIELD_LABELS,Top,Bottom,Sediment,Laurentian,Estuary,Inland,Particle,Free,Spring,Summer,Fall

Otu019287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014733,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu067975,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029898,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu006366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu004423,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068347,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010410,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu022798,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu067989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu052832,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu018184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu029862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014637,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu068207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
