DATASET_BINARY
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throught this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,binary_data

#dataset color (can be changed later)
COLOR,#ff0000

#Binary datasets can contain one or more values for each node. Each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS). Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely ommited).

#define colors for each individual field column (if not defined all symbols will use the main dataset color, defined in COLOR)
#shapes for each field column; possible choices are
#1: rectangle 
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
FIELD_LABELS,Surface,Bottom,Sediment,Laurentian,Estuary,Inland,Particle,Free,Spring,Summer,Fall
FIELD_COLORS,#66ddff,#3366ee,#5F2B7F,#d73027,#fc8d59,#fee08b,#404040,#bababa,#d9ef8b,#41ab5d,#00441b
FIELD_SHAPES,1,1,1,1,1,1,1,1,1,1,1
# Rectangle = depth
# Star = group 
# Circle = fraction
# Triangle = Season

#all other optional settings can be set or changed later in the web interface (under 'Datasets' tab)

#show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,1

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#symbol height factor; Default symbol height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#increase/decrease the spacing between individual levels, when there is more than one binary level defined 
SYMBOL_SPACING,10

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#Actual data follows after the "DATA" keyword

DATA

FIELD_LABELS,Top,Bottom,Sediment,Laurentian,Estuary,Inland,Particle,Free,Spring,Summer,Fall

Otu010245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu010419,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu007317,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001766,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu001649,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu001652,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu003048,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu001980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003611,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu014738,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000518,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu019505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu019688,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005936,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu003194,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu001149,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1
Otu001393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu028570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu017119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu008720,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
Otu014141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000099,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
Otu000649,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu003574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000133,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1
Otu000063,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1
Otu000241,-1,1,-1,-1,1,-1,-1,1,1,-1,-1
Otu000386,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
Otu002516,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
Otu002517,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu005377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002710,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu000474,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu011816,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1
Otu000454,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1
Otu000149,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1
Otu001098,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1
Otu000589,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1
Otu001871,-1,1,-1,-1,1,-1,-1,1,1,-1,-1
Otu009083,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu000025,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1
Otu000090,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu003621,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu011364,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1
Otu000309,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1
Otu000294,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu000841,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1
Otu001414,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1
Otu001793,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1
Otu000643,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu000229,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu000570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000644,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu002503,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1
Otu002157,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1
Otu001778,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu003976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000979,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu000919,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1
Otu000846,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1
Otu003459,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
Otu002252,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu000897,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu000059,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
Otu000700,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
Otu012792,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000423,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
Otu002047,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu000470,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1
Otu013775,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu002890,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu005729,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
Otu000165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Otu000127,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
Otu000438,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu000128,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
Otu001352,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1
Otu000066,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
Otu000401,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1
Otu001026,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
Otu001014,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1
